panel,position,season,n,n_rookie,n_zero_game,mean_actual,k,rho_v1,top_v1,pts_top_v1,rho_b3_prior_points,top_b3_prior_points,pts_top_b3_prior_points,rho_b4_tier_heuristic,top_b4_tier_heuristic,pts_top_b4_tier_heuristic,rho_b3w_wavg_ppg,top_b3w_wavg_ppg,pts_top_b3w_wavg_ppg,rho_b1_market_adp,top_b1_market_adp,pts_top_b1_market_adp,rho_b2_expert_ecr,top_b2_expert_ecr,pts_top_b2_expert_ecr
E,QB,2021,50,9,2,174.99880000000002,10,0.5806141805798537,0.5,295.02400000000006,0.5795492020185284,0.5,299.368,0.5695838379622963,0.5,288.67,0.5716510742861837,0.6,305.73799999999994,,,,0.7966577831295818,0.6,332.77400000000006
E,QB,2022,45,4,1,175.93511111111113,10,0.633596837944664,0.3,279.216,0.6458801666979325,0.5,301.484,0.6537910092850329,0.4,284.98799999999994,0.5503789425607862,0.2,249.17,,,,0.6715415019762845,0.4,303.20400000000006
E,QB,2023,57,8,4,136.64140350877193,10,0.5581275012870385,0.3,215.392,0.4534478488786388,0.4,244.16200000000003,0.44113815333860695,0.4,244.96000000000004,0.4676018624891119,0.3,224.24,,,,0.6855994654518058,0.5,271.408
E,QB,2024,67,8,4,135.28268656716418,10,0.661770871965761,0.4,262.036,0.4103926970448557,0.4,279.772,0.3818497431295017,0.5,282.398,0.4659171617091761,0.4,253.46799999999993,,,,0.8339885495806371,0.5,285.224
E,RB,2021,147,23,19,72.72761904761904,20,0.6009202269923972,0.65,174.608,0.47281714493600685,0.6,160.853,0.37847594665452877,0.55,156.47299999999998,0.4586170433468469,0.65,180.03799999999998,,,,0.6755511092065063,0.65,184.728
E,RB,2022,153,30,15,70.25281045751635,20,0.6698280779483711,0.6,184.51799999999997,0.4740838305336102,0.6,187.24099999999999,0.4370678604257026,0.55,172.533,0.5193858683649224,0.65,196.04899999999998,,,,0.7918076422348236,0.7,200.42899999999997
E,RB,2023,138,22,16,74.08942028985507,20,0.6424579716280042,0.5,178.903,0.4779687468123944,0.45,158.41799999999998,0.4889281196034439,0.35,151.21800000000002,0.43707802962563574,0.5,169.70299999999997,,,,0.7765788277890692,0.5,179.203
E,RB,2024,158,33,27,69.08177215189875,20,0.7178138763296851,0.6,212.96999999999997,0.6604298132546292,0.6,207.75100000000003,0.647461392675086,0.55,198.43099999999998,0.607642293352218,0.6,205.27099999999996,,,,0.7606115727800528,0.7,224.85
E,WR,2021,193,34,17,76.14155440414508,30,0.6555494417129315,0.5666666666666667,167.80800000000002,0.5566669675101827,0.5333333333333333,162.44333333333333,0.5440084644314638,0.5333333333333333,159.73666666666665,0.5039834537526365,0.6,172.19133333333335,,,,0.6932011291509209,0.6,176.08333333333337
E,WR,2022,179,26,17,76.37351955307263,30,0.7046525763646828,0.7666666666666667,190.43666666666667,0.5586118320854663,0.7333333333333333,190.642,0.5264195976399619,0.6,171.15533333333332,0.5407480336340348,0.6333333333333333,180.08866666666663,,,,0.7574414465739004,0.6666666666666666,176.56200000000004
E,WR,2023,172,29,12,84.22220930232558,30,0.6347183518865426,0.6333333333333333,188.90199999999996,0.47588549356431625,0.6333333333333333,185.17866666666666,0.430379579002469,0.6333333333333333,185.5026666666667,0.49792615448692257,0.7333333333333333,198.838,,,,0.7547725345397517,0.6666666666666666,191.52533333333335
E,WR,2024,202,38,22,72.50138613861385,30,0.7123654801961151,0.6666666666666666,176.506,0.5800898136918097,0.5666666666666667,165.3793333333333,0.5298839517027544,0.5,160.40333333333334,0.54693673879678,0.5333333333333333,163.8793333333333,,,,0.7615837185235839,0.6333333333333333,174.08266666666665
E,TE,2021,87,11,8,55.77126436781611,10,0.6591141182786453,0.4,140.07000000000002,0.5160792292140829,0.3,116.44000000000001,0.490898861764617,0.3,115.47,0.564011422298587,0.6,147.78,,,,0.6869783937525766,0.5,136.33
E,TE,2022,87,12,7,53.9551724137931,10,0.72304877129671,0.6,133.07,0.5495115873510382,0.4,125.57000000000001,0.5532881280827483,0.4,124.36000000000001,0.5300640239924559,0.4,124.23999999999998,,,,0.637896785481578,0.6,134.18
E,TE,2023,75,10,4,61.85093333333333,10,0.700298769357656,0.5,126.01199999999999,0.5207081479668312,0.6,133.602,0.5083181959488063,0.6,130.752,0.516982079586173,0.5,131.462,,,,0.7199317187667565,0.5,133.91
E,TE,2024,95,12,7,53.15200000000001,10,0.6496440450069816,0.4,120.31400000000001,0.5825480066709892,0.4,120.80400000000002,0.5754863225603373,0.4,117.03400000000002,0.5783115315199407,0.4,118.88400000000001,,,,0.6657379627392372,0.5,130.01000000000002
