season,n,position,n_adp,k,rho_model,top_model,pts_top_model,rho_model_no_bonus,top_model_no_bonus,pts_top_model_no_bonus,rho_b2_prior_points,top_b2_prior_points,pts_top_b2_prior_points,rho_b3_wavg_ppg,top_b3_wavg_ppg,pts_top_b3_wavg_ppg,rho_b1_adp,mae_games_x,bias_games_x,mae_naive_games,mae_carries,bias_carries,mae_naive_carries,mae_rush_yards,bias_rush_yards,mae_naive_rush_yards,mae_rush_tds,bias_rush_tds,mae_naive_rush_tds,mae_targets,bias_targets,mae_naive_targets,mae_receptions,bias_receptions,mae_naive_receptions,mae_rec_yards,bias_rec_yards,mae_naive_rec_yards,bonus_actual_rec,bonus_actual_rush,bonus_actual_pass,bonus_pred_total,bonus_actual_total,top_b1_adp,pts_top_b1_adp,adpsub_rho_model,adpsub_top_model,adpsub_pts_top_model,adpsub_rho_model_no_bonus,adpsub_top_model_no_bonus,adpsub_pts_top_model_no_bonus,adpsub_rho_b2_prior_points,adpsub_top_b2_prior_points,adpsub_pts_top_b2_prior_points,adpsub_rho_b3_wavg_ppg,adpsub_top_b3_wavg_ppg,adpsub_pts_top_b3_wavg_ppg,adpsub_rho_b1_adp,adpsub_top_b1_adp,adpsub_pts_top_b1_adp,arm,mae_games_y,bias_games_y,n_returning,mae_games_returning,bias_games_returning,rho_returning,mae_attempts,bias_attempts,mae_naive_attempts,mae_pass_yards,bias_pass_yards,mae_naive_pass_yards,mae_pass_tds,bias_pass_tds,mae_naive_pass_tds,mae_interceptions,bias_interceptions,mae_naive_interceptions,mae_rec_tds,bias_rec_tds,mae_naive_rec_tds
2024,122,RB,53,20,0.7557961575242508,0.6,212.96999999999997,0.755244272798917,0.6,212.96999999999997,0.6850717724696203,0.6,207.75100000000003,0.5754725090407717,0.6,205.27099999999996,0.47993790797337277,4.382800467400417,-0.397155680728291,4.778688524590164,49.92014985118197,-10.578269712416672,52.52459016393443,234.02059625316502,-60.02044347284957,234.51639344262296,2.1884011099681224,-0.6257312501158963,2.081967213114754,11.797878019001224,0.5879785138786946,13.073770491803279,9.447178684128627,-0.42168463138624657,10.278688524590164,78.64942030570364,-3.6337257163745553,84.73770491803279,2.0,140.5,0.0,102.48023937824918,142.5,0.7,219.78100000000003,0.4479609733407603,0.6,212.96999999999997,0.44602576258382065,0.6,212.96999999999997,0.48430939402062645,0.6,207.75100000000003,0.49209935260434023,0.6,205.27099999999996,0.47993790797337277,0.7,219.78100000000003,A,4.382800467400417,-0.397155680728291,22,3.7703774549056774,1.1185735204838523,0.2392060006609598,,,,,,,,,,,,,,,
2014,130,RB,0,20,0.6441918767717598,0.5,158.54,0.6441034545404297,0.45,146.42499999999998,0.5172720854854694,0.6,162.155,0.3306987327570631,0.6,161.8,,4.260885888501011,0.07326586553829073,5.053846153846154,48.880009869775265,-5.462644648350304,59.15384615384615,211.4538150335779,-27.3398734485148,251.2153846153846,1.7317154305165559,-0.11038231804178111,1.9692307692307693,14.192861615377016,-2.3973917500154647,16.223076923076924,10.401601648782027,-1.6246283374035095,12.338461538461539,89.02095210981648,-14.686156755468648,99.23076923076923,8.0,113.0,0.0,74.91693490188317,121.0,,,,,,,,,,,,,,,,,,B,4.260885888501011,0.07326586553829073,28,2.85787693986642,1.4728172124843597,0.3312616237711178,,,,,,,,,,,,,,,
2015,125,RB,0,20,0.6132885091795129,0.4,132.255,0.6137831590167844,0.4,132.255,0.4483228902732953,0.4,123.79499999999999,0.308934530950592,0.4,120.49499999999998,,3.9959953665416554,-0.0557698990325335,4.928,50.431861349792435,-1.2144859933015453,65.768,213.85464341656356,-3.285508538064565,284.808,1.767659531244972,0.21850695646604135,2.264,14.768119221263667,-1.8188707490149634,18.712,11.062730462365094,-1.435436982519828,14.16,98.25085606061322,-16.186482850871744,124.576,5.0,107.5,0.0,111.23103549682288,112.5,,,,,,,,,,,,,,,,,,B,3.9959953665416554,-0.0557698990325335,25,3.71422440705974,1.2130992739544506,0.03737544849713445,,,,,,,,,,,,,,,
2016,130,RB,0,20,0.5793606502442419,0.4,147.15000000000003,0.5783597044063731,0.4,147.15000000000003,0.5390688372829542,0.5,155.20000000000002,0.32674030870600956,0.45,137.49,,4.282779017467338,0.3018447829781336,5.3076923076923075,51.64172585075903,-3.8368653971501114,56.83076923076923,224.8159084194433,-18.134930281796745,252.2,2.1243343077972203,-0.5862090579493567,2.2384615384615385,14.66810679869186,-0.20339169320527684,16.26153846153846,11.377049240545341,-0.4080624237888149,12.623076923076923,92.48130734338726,-3.5735819599316736,112.72307692307692,5.0,114.0,0.0,101.98836147548246,119.0,,,,,,,,,,,,,,,,,,B,4.282779017467338,0.3018447829781336,24,2.963768958340007,0.08580107837462125,0.6188453080070808,,,,,,,,,,,,,,,
2017,137,RB,0,20,0.5667793709041407,0.55,172.185,0.5676395453967654,0.55,172.185,0.3873368962934441,0.55,173.61,0.29313399189035844,0.55,168.05,,4.908818134084697,-0.11920895298217231,5.766423357664234,52.84221875395196,-5.415575738209218,58.86861313868613,221.75890497261358,-14.46555070781378,250.2189781021898,1.6770062884175105,0.08133998887844833,2.218978102189781,16.250125733039734,-3.3246188887195003,17.605839416058394,12.334620860998006,-2.5982788682137605,13.27007299270073,101.2273753819783,-23.29620645859574,113.64963503649635,10.0,103.5,0.0,117.01113856988216,113.5,,,,,,,,,,,,,,,,,,B,4.908818134084697,-0.11920895298217231,32,3.9237237788680117,-2.1697587606431536,0.41820029270031983,,,,,,,,,,,,,,,
2018,135,RB,38,20,0.6065243209178335,0.45,172.54,0.6071729390835758,0.45,172.54,0.4517225975147962,0.35,157.95499999999998,0.2995811077669135,0.4,160.01500000000001,0.5480111623894416,4.298052091951956,0.15516600204885023,5.37037037037037,46.92790105638655,2.434977725730632,60.888888888888886,207.9795468388004,-7.50454293283523,268.1777777777778,1.8844477201756518,-0.3433242193819616,2.2074074074074073,16.16725149828681,-1.538561790585676,18.733333333333334,12.611238404363682,-1.6122875809933022,14.57037037037037,104.89552253319427,-12.176993301601694,116.28888888888889,10.5,122.5,0.0,117.83505466354164,133.0,0.65,186.683,0.46317977896925266,0.6,175.18200000000002,0.45945945945945943,0.6,175.182,0.3593148590644575,0.6,171.85500000000002,0.4160240645131881,0.65,180.85,0.5480111623894416,0.65,186.683,B,4.298052091951956,0.15516600204885023,30,3.191905110186556,-0.8732491668762942,0.6218646131340165,,,,,,,,,,,,,,,
2019,130,RB,45,20,0.7106881118786019,0.55,187.41099999999997,0.7107322817750044,0.55,187.41099999999997,0.5470374579942241,0.6,196.75600000000003,0.4562003200087898,0.5,176.521,0.759291012141463,4.383085102619959,-0.2642348002184674,4.923076923076923,49.484258650993766,-4.230947364808454,54.36153846153846,222.23188363640443,-29.567165404204367,232.51538461538462,1.9029465888889014,-0.31177026709921074,2.1,14.51342310129301,-1.2189581225847679,16.907692307692308,11.599885525399465,-1.3798270724144188,13.107692307692307,93.98777145577448,-8.00773847935361,112.07692307692308,7.5,125.0,0.0,114.3817608666744,132.5,0.75,213.87600000000003,0.5524374176548089,0.65,189.87600000000003,0.5470355731225296,0.65,189.876,0.5475925573560981,0.65,198.74600000000004,0.5335244984419569,0.65,195.82099999999997,0.759291012141463,0.75,213.87600000000003,B,4.383085102619959,-0.2642348002184674,28,3.2934557398344517,0.023779364781953527,0.5288831621265879,,,,,,,,,,,,,,,
2020,133,RB,56,20,0.6573647373624106,0.45,166.22499999999997,0.6568322488591787,0.45,166.22499999999997,0.48496070208116904,0.45,158.335,0.32211209503540567,0.5,167.20000000000002,0.5736166799796691,3.744202093278969,-0.586081777279204,4.7669172932330826,45.43877909019366,-2.681006147495038,56.46616541353384,211.15547629366714,-27.395523029952216,251.93984962406014,1.941113698214862,-0.5633671042860737,2.2030075187969924,13.487268036891097,0.49935770701620324,17.015037593984964,10.419028630893237,0.17294852106733338,13.25563909774436,82.10343535472043,9.56797965516709,111.05263157894737,2.0,116.0,0.0,120.53486048577403,118.0,0.65,179.78500000000003,0.42098427887901574,0.55,164.035,0.419002050580998,0.55,164.80499999999998,0.2706698851843164,0.55,164.8,0.2832267164018069,0.6,170.23999999999998,0.5736166799796691,0.65,179.78500000000003,B,3.744202093278969,-0.586081777279204,31,2.9391715302858006,0.09343491317420477,0.37848736857660525,,,,,,,,,,,,,,,
2021,126,RB,64,20,0.5882378493794763,0.6,171.228,0.5887072192971938,0.6,171.228,0.47825653572262333,0.55,160.853,0.4638450381425163,0.6,180.03799999999998,0.7114118628366142,4.525358716577175,0.2815708397456695,5.412698412698413,50.401502398577676,-0.39500768689322535,57.26190476190476,219.74444830901038,-6.155461349104801,252.26984126984127,2.031883485572773,-0.16374606775851766,2.5873015873015874,14.68663626513431,0.1132066502072329,16.753968253968253,11.529880637448624,-0.3418987205442131,12.698412698412698,89.16789288807735,3.8354376866960216,105.02380952380952,5.0,107.0,0.0,123.95782488569697,112.0,0.7,199.96800000000002,0.6261275706000768,0.65,179.313,0.6233344024117922,0.65,179.313,0.43294394851006457,0.6,168.733,0.43451177140643943,0.7,192.088,0.7114118628366142,0.7,199.96800000000002,B,4.525358716577175,0.2815708397456695,19,4.341893835292129,-0.21029440641311706,0.3319942141645455,,,,,,,,,,,,,,,
2022,137,RB,43,20,0.7084499351991198,0.6,189.25599999999997,0.7089838067843927,0.6,189.25599999999997,0.4972098804315324,0.6,187.24099999999999,0.4387798972312494,0.65,187.64399999999998,0.41340635502327827,4.520677905893046,-0.3371104230961667,5.45985401459854,51.32304923784534,-5.0410228970044875,59.45985401459854,231.41544387242936,-40.217718306530486,270.73722627737226,1.8723232340810343,-0.15638427816173237,2.27007299270073,13.755490668771051,-0.4776386132014354,15.503649635036496,10.591811544517395,-0.5267092329565682,11.978102189781023,84.11158240588858,5.131198543689129,93.91240875912409,3.0,130.5,0.0,117.14250734650207,133.5,0.7,182.434,0.39340053639243006,0.75,186.44099999999997,0.3897761168632868,0.75,186.441,0.2960166826611361,0.7,179.19099999999997,0.42870139753194947,0.7,183.814,0.41340635502327827,0.7,182.434,B,4.520677905893046,-0.3371104230961667,26,3.46680789470192,0.4222999340214741,0.46914556036927413,,,,,,,,,,,,,,,
2023,136,RB,58,20,0.7432282790186396,0.5,178.903,0.7438655904783585,0.5,178.90300000000002,0.5636052204541047,0.45,158.41799999999998,0.4176398723381786,0.5,169.70299999999997,0.24453504065642806,4.272269347516969,-0.08639536365170176,4.8161764705882355,45.574604602665495,-7.6199338735530455,53.095588235294116,198.44163821134097,-23.901155335654206,245.46323529411765,1.8386772641666553,-0.1593070010969793,2.2941176470588234,12.913975515620507,-1.2241452226162914,16.74264705882353,10.120536233123973,-1.2841356713134824,13.147058823529411,76.86474956696836,-1.4863053890098938,97.13235294117646,2.0,102.5,0.0,113.92216175481722,104.5,0.55,162.21999999999997,0.4193607923959519,0.55,181.078,0.4220062136639085,0.55,181.078,0.20756520374624912,0.5,162.091,0.20623858461306183,0.5,166.91299999999998,0.24453504065642806,0.55,162.21999999999997,B,4.272269347516969,-0.08639536365170176,33,2.8757417167094763,1.0628636158509783,0.36737070269310945,,,,,,,,,,,,,,,
2024,122,RB,53,20,0.7481894572136264,0.6,212.26,0.7493863156541093,0.6,212.26,0.6850717724696203,0.6,207.75100000000003,0.5754725090407717,0.6,205.27099999999996,0.47993790797337277,4.349564679883617,-0.45287450039958993,4.778688524590164,49.78979626805802,-10.573579583158692,52.52459016393443,233.46993555358048,-59.98798364965612,234.51639344262296,2.1729883934309377,-0.6247979668663309,2.081967213114754,11.837571467738403,0.5796561486434487,13.073770491803279,9.495100588932527,-0.4287080108320099,10.278688524590164,78.74441027957626,-3.686398534674308,84.73770491803279,2.0,140.5,0.0,102.83319015414298,142.5,0.7,219.78100000000003,0.43598685678219623,0.6,212.26,0.43840587022837074,0.6,212.26,0.48430939402062645,0.6,207.75100000000003,0.49209935260434023,0.6,205.27099999999996,0.47993790797337277,0.7,219.78100000000003,B,4.349564679883617,-0.45287450039958993,22,3.5884432918694724,0.7667464203136749,0.18228881722394683,,,,,,,,,,,,,,,
2014,130,RB,0,20,0.6209340667371963,0.5,156.815,0.6208345917269499,0.5,156.815,0.5172720854854694,0.6,162.155,0.3306987327570631,0.6,161.8,,4.411382885263333,0.17187143145774297,5.053846153846154,50.11354816637833,-4.888921314987146,59.15384615384615,216.11782252732044,-24.854009965709327,251.2153846153846,1.74769433895762,-0.09496813652799926,1.9692307692307693,14.413760141417786,-2.2057802008219425,16.223076923076924,10.59520441165142,-1.4795265174844507,12.338461538461539,89.97166222484041,-13.571028586357299,99.23076923076923,8.0,113.0,0.0,75.57278332039542,121.0,,,,,,,,,,,,,,,,,,C,4.411382885263333,0.17187143145774297,28,3.1460445701478044,1.7980962831321847,0.2992833977140049,,,,,,,,,,,,,,,
2015,125,RB,0,20,0.6195612874284113,0.35,123.955,0.6171065876109518,0.35,123.955,0.4483228902732953,0.4,123.79499999999999,0.308934530950592,0.4,120.49499999999998,,4.090243248113666,-0.15428890505183177,4.928,50.68772850394448,-2.214980296049791,65.768,217.41828116171425,-7.181434366184412,284.808,1.8189785048316998,0.1924283824079334,2.264,15.019289096768489,-2.0505155260183257,18.712,11.217893469120131,-1.6097158745804503,14.16,98.2788473059754,-17.565574074158626,124.576,5.0,107.5,0.0,110.14377300045683,112.5,,,,,,,,,,,,,,,,,,C,4.090243248113666,-0.15428890505183177,25,3.576548622832476,1.3548751954390426,0.2724790761403995,,,,,,,,,,,,,,,
2016,130,RB,0,20,0.5912345077385208,0.5,165.91,0.5924636912262333,0.5,165.91,0.5390688372829542,0.5,155.20000000000002,0.32674030870600956,0.45,137.49,,4.457568610685032,0.4086257212343641,5.3076923076923075,52.058158512963075,-3.8139951602447004,56.83076923076923,226.84476472689454,-18.12778496975451,252.2,2.141074581196366,-0.5864477922798195,2.2384615384615385,14.82291442920305,-0.04761141482089871,16.26153846153846,11.480521530555063,-0.28593442487919146,12.623076923076923,93.89807040361005,-2.6051013184529244,112.72307692307692,5.0,114.0,0.0,101.54025059879902,119.0,,,,,,,,,,,,,,,,,,C,4.457568610685032,0.4086257212343641,24,2.9507950459679777,0.4108834614396473,0.6708323128800505,,,,,,,,,,,,,,,
2017,137,RB,0,20,0.6011657464455274,0.6,166.51499999999996,0.6018841389631014,0.6,166.51499999999996,0.3873368962934441,0.55,173.61,0.29313399189035844,0.55,168.05,,4.855835802293974,-0.2225947379630903,5.766423357664234,52.434374006032144,-6.90978590013073,58.86861313868613,217.1093530248356,-20.52272989596591,250.2189781021898,1.6569288744367068,0.03959756882921421,2.218978102189781,15.952117224474202,-3.709445079749623,17.605839416058394,12.075965630337775,-2.8885252613039425,13.27007299270073,99.31170338197268,-25.595603213554636,113.64963503649635,10.0,103.5,0.0,114.44356188125985,113.5,,,,,,,,,,,,,,,,,,C,4.855835802293974,-0.2225947379630903,32,3.9237178063408735,-1.892683895579035,0.4365678217902303,,,,,,,,,,,,,,,
2018,135,RB,38,20,0.6162300367089051,0.45,172.54,0.616608390384632,0.45,172.54,0.4517225975147962,0.35,157.95499999999998,0.2995811077669135,0.4,160.01500000000001,0.5480111623894416,4.222378036783175,0.20549260395878022,5.37037037037037,46.630046214190315,3.1635535886788086,60.888888888888886,206.41037641242556,-4.486763722249149,268.1777777777778,1.869038160734148,-0.32313606214774054,2.2074074074074073,15.942229197040133,-1.3365408156917542,18.733333333333334,12.448591911317944,-1.463524749650039,14.57037037037037,104.17836010243231,-10.976547735375012,116.28888888888889,10.5,122.5,0.0,119.23913590143073,133.0,0.65,186.683,0.4763103184155816,0.6,176.307,0.4734653682022103,0.6,175.182,0.3593148590644575,0.6,171.85500000000002,0.4160240645131881,0.65,180.85,0.5480111623894416,0.65,186.683,C,4.222378036783175,0.20549260395878022,30,2.9516385932933664,-0.7691333102619212,0.6528607273885304,,,,,,,,,,,,,,,
2019,130,RB,45,20,0.7002088039571172,0.55,185.33099999999996,0.6999327421046018,0.55,185.33099999999996,0.5470374579942241,0.6,196.75600000000003,0.4562003200087898,0.5,176.521,0.759291012141463,4.481917048085234,-0.1973318552885482,4.923076923076923,50.16476008819384,-4.017105416114952,54.36153846153846,224.37046305176196,-28.71525568795497,232.51538461538462,1.8944729144054167,-0.3065614855903059,2.1,14.69419039137439,-1.2454798886324923,16.907692307692308,11.692166887532197,-1.398358309933455,13.107692307692307,94.59207629504988,-8.164775391434382,112.07692307692308,7.5,125.0,0.0,114.40302942719023,132.5,0.75,213.87600000000003,0.55098814229249,0.65,193.386,0.5466403162055335,0.65,189.50099999999998,0.5475925573560981,0.65,198.74600000000004,0.5335244984419569,0.65,195.82099999999997,0.759291012141463,0.75,213.87600000000003,C,4.481917048085234,-0.1973318552885482,28,3.4876346127516404,0.27419344846239246,0.5168708904364967,,,,,,,,,,,,,,,
2020,133,RB,56,20,0.6593922897401012,0.45,159.445,0.6593052483501499,0.45,159.445,0.48496070208116904,0.45,158.335,0.32211209503540567,0.5,167.20000000000002,0.5736166799796691,3.7470564921694383,-0.5031999684531393,4.7669172932330826,46.013735999535264,-2.3882571221030364,56.46616541353384,213.11242646885555,-26.24983427926831,251.93984962406014,1.9431697829021917,-0.5557583521321995,2.2030075187969924,13.514780073938192,0.559064268697857,17.015037593984964,10.44418189177795,0.21680746469854226,13.25563909774436,82.10576466720471,9.92363786401304,111.05263157894737,2.0,116.0,0.0,120.60403441125464,118.0,0.65,179.78500000000003,0.43007518796992483,0.6,165.69,0.4306903622693097,0.6,165.69,0.2706698851843164,0.55,164.8,0.2832267164018069,0.6,170.23999999999998,0.5736166799796691,0.65,179.78500000000003,C,3.7470564921694383,-0.5031999684531393,31,3.154256387663056,0.4503387842903881,0.31132117925883906,,,,,,,,,,,,,,,
