n_universe,n_covered,rho_crowd,rho_b2,rho_b3,top12_pts,rank13_24_pts,season,null_se,null_half_width_95,gap_vs_b3,outside_null_band,poor,strong,baseline,position
99,12,0.2027972027972028,0.2027972027972028,0.1258741258741259,131.31666666666666,,2022,0.3245080539347447,0.6360357857120996,0.07692307692307693,False,False,False,market_adp,TE
98,19,0.2614035087719298,0.37911368283258007,0.2580079230388392,125.39166666666667,97.45714285714284,2023,0.2565356721052252,0.5028099173262414,0.0033955857330906225,False,False,False,market_adp,TE
95,17,0.6568026369626159,0.08951565140524574,0.14224404880833572,137.05,71.1,2024,0.11708690732045698,0.22949033834809568,0.5145585881542801,True,False,True,market_adp,TE
79,0,,,,,,2013,,,,False,False,False,expert_ecr,QB
68,0,,,,,,2014,,,,False,False,False,expert_ecr,QB
72,0,,,,,,2015,,,,False,False,False,expert_ecr,QB
76,0,,,,,,2016,,,,False,False,False,expert_ecr,QB
80,0,,,,,,2017,,,,False,False,False,expert_ecr,QB
72,0,,,,,,2018,,,,False,False,False,expert_ecr,QB
79,0,,,,,,2019,,,,False,False,False,expert_ecr,QB
80,0,,,,,,2020,,,,False,False,False,expert_ecr,QB
87,50,0.7966577831295818,0.5795492020185284,0.5716510742861837,331.80333333333334,190.73999999999998,2021,0.06644296817408207,0.13022821762120085,0.22500670884339813,True,False,True,expert_ecr,QB
84,45,0.6715415019762845,0.6458801666979325,0.5503789425607862,262.8233333333334,213.26666666666668,2022,0.10591195257123387,0.20758742703961838,0.12116255941549825,False,False,False,expert_ecr,QB
91,57,0.6855994654518058,0.4534478488786388,0.4676018624891119,254.2416666666667,200.55333333333337,2023,0.0692448059982523,0.13571981975657452,0.21799760296269394,True,False,True,expert_ecr,QB
97,67,0.8339885495806371,0.4103926970448557,0.4659171617091761,290.41,226.88500000000002,2024,0.035807135727064475,0.07018198602504637,0.368071387871461,True,False,True,expert_ecr,QB
130,0,,,,,,2013,,,,False,False,False,expert_ecr,RB
130,0,,,,,,2014,,,,False,False,False,expert_ecr,RB
125,0,,,,,,2015,,,,False,False,False,expert_ecr,RB
130,0,,,,,,2016,,,,False,False,False,expert_ecr,RB
137,0,,,,,,2017,,,,False,False,False,expert_ecr,RB
133,0,,,,,,2018,,,,False,False,False,expert_ecr,RB
127,0,,,,,,2019,,,,False,False,False,expert_ecr,RB
131,0,,,,,,2020,,,,False,False,False,expert_ecr,RB
162,147,0.6755511092065063,0.47281714493600685,0.4586170433468469,220.7216666666667,134.25000000000003,2021,0.054921443495829066,0.10764602925182497,0.2169340658596594,True,False,True,expert_ecr,RB
176,153,0.7918076422348236,0.4740838305336102,0.5193858683649224,228.58166666666662,154.48333333333332,2022,0.034541409715412245,0.067701163042208,0.2724217738699012,True,False,True,expert_ecr,RB
169,138,0.7765788277890692,0.4779687468123944,0.43707802962563574,189.43833333333336,149.50833333333335,2023,0.03299009219078022,0.06466058069392923,0.3395007981634334,True,False,True,expert_ecr,RB
176,158,0.7606115727800528,0.6604298132546292,0.607642293352218,235.61666666666667,199.1933333333333,2024,0.035190685563184054,0.06897374370384074,0.15296927942783478,True,False,True,expert_ecr,RB
197,0,,,,,,2013,,,,False,False,False,expert_ecr,WR
200,0,,,,,,2014,,,,False,False,False,expert_ecr,WR
199,0,,,,,,2015,,,,False,False,False,expert_ecr,WR
202,0,,,,,,2016,,,,False,False,False,expert_ecr,WR
214,0,,,,,,2017,,,,False,False,False,expert_ecr,WR
200,0,,,,,,2018,,,,False,False,False,expert_ecr,WR
201,0,,,,,,2019,,,,False,False,False,expert_ecr,WR
208,0,,,,,,2020,,,,False,False,False,expert_ecr,WR
245,193,0.6932011291509209,0.5566669675101827,0.5039834537526365,188.4,190.66666666666666,2021,0.04370527888955918,0.085662346623536,0.18921767539828438,True,False,True,expert_ecr,WR
232,179,0.7574414465739004,0.5586118320854663,0.5407480336340348,226.48000000000002,147.84166666666667,2022,0.034147471492853125,0.06692904412599213,0.21669341293986566,True,False,True,expert_ecr,WR
228,172,0.7547725345397517,0.47588549356431625,0.49792615448692257,226.55999999999997,189.41166666666663,2023,0.03531731532862322,0.06922193804410151,0.2568463800528291,True,False,True,expert_ecr,WR
245,202,0.7615837185235839,0.5800898136918097,0.54693673879678,210.08,151.01000000000002,2024,0.029773331867675883,0.05835573046064473,0.2146469797268039,True,False,True,expert_ecr,WR
78,0,,,,,,2013,,,,False,False,False,expert_ecr,TE
87,0,,,,,,2014,,,,False,False,False,expert_ecr,TE
84,0,,,,,,2015,,,,False,False,False,expert_ecr,TE
89,0,,,,,,2016,,,,False,False,False,expert_ecr,TE
99,0,,,,,,2017,,,,False,False,False,expert_ecr,TE
98,0,,,,,,2018,,,,False,False,False,expert_ecr,TE
100,0,,,,,,2019,,,,False,False,False,expert_ecr,TE
94,0,,,,,,2020,,,,False,False,False,expert_ecr,TE
112,87,0.6869783937525766,0.5160792292140829,0.564011422298587,134.10833333333335,83.86666666666666,2021,0.06582790714235985,0.1290226979990253,0.1229669714539896,False,False,False,expert_ecr,TE
109,87,0.637896785481578,0.5495115873510382,0.5300640239924559,131.31666666666666,85.83333333333333,2022,0.06807519754177667,0.13342738718188227,0.10783276148912213,False,False,False,expert_ecr,TE
106,75,0.7199317187667565,0.5207081479668312,0.516982079586173,128.84166666666667,87.83333333333333,2023,0.06075442857824454,0.1190786800133593,0.2029496391805835,True,False,True,expert_ecr,TE
109,95,0.6657379627392372,0.5825480066709892,0.5783115315199407,132.82500000000002,89.87833333333333,2024,0.06472075913874524,0.12685268791194068,0.0874264312192965,False,False,False,expert_ecr,TE
