run,position,season,n_board_vet,n_vet,rho_points,rho_points_fullvet,coverage,universe,targets,S,first_feature_season
CTRL-A,TE,2024,16,86,0.2752024291772091,0.7434719183933073,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,WR,2018,40,186,0.6846474982905959,0.7296088713566679,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,WR,2019,49,185,0.5440816326530612,0.7442160810089276,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,WR,2020,50,190,0.4534453781512604,0.7582867277839869,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,WR,2021,58,197,0.4281957027130282,0.712831374827708,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,WR,2022,39,193,0.7384989128340331,0.7246509488816966,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,WR,2023,61,188,0.5869458877547284,0.7780306999770846,,m_panel_halfppr12,2018-2024,7,2012
CTRL-A,WR,2024,54,190,0.485543845025195,0.7958854674754652,,m_panel_halfppr12,2018-2024,7,2012
F0,QB,2018,19,65,-0.0771929824561403,0.615351787477374,,m_panel_halfppr12,2018-2024,7,2012
F0,QB,2019,19,72,0.3473684210526316,0.6768489409020211,,m_panel_halfppr12,2018-2024,7,2012
F0,QB,2020,19,73,0.3824561403508771,0.7580984619911217,,m_panel_halfppr12,2018-2024,7,2012
F0,QB,2021,19,73,0.1403508771929824,0.7125026197196556,,m_panel_halfppr12,2018-2024,7,2012
F0,QB,2022,14,77,0.5032967032967033,0.7431811447908064,,m_panel_halfppr12,2018-2024,7,2012
F0,QB,2023,23,79,0.0691699604743083,0.6067121525010728,,m_panel_halfppr12,2018-2024,7,2012
F0,QB,2024,21,85,0.4441558441558441,0.7111380773124414,,m_panel_halfppr12,2018-2024,7,2012
F0,RB,2018,29,120,0.4532019704433496,0.6170931599575953,,m_panel_halfppr12,2018-2024,7,2012
F0,RB,2019,35,118,0.4011204481792717,0.699914540387098,,m_panel_halfppr12,2018-2024,7,2012
F0,RB,2020,45,119,0.4158102766798419,0.6584192371855645,,m_panel_halfppr12,2018-2024,7,2012
F0,RB,2021,59,118,0.6488982418004358,0.5962483739667556,,m_panel_halfppr12,2018-2024,7,2012
F0,RB,2022,37,123,0.3655761024182076,0.7076506627902215,,m_panel_halfppr12,2018-2024,7,2012
F0,RB,2023,52,128,0.3730043541364296,0.734724565042905,,m_panel_halfppr12,2018-2024,7,2012
F0,RB,2024,46,112,0.426038422602263,0.7839232054289281,,m_panel_halfppr12,2018-2024,7,2012
F0,TE,2018,11,89,0.3,0.618891499303936,,m_panel_halfppr12,2018-2024,7,2012
F0,TE,2019,10,90,0.6242424242424242,0.5632396734767979,,m_panel_halfppr12,2018-2024,7,2012
F0,TE,2020,16,85,0.3647058823529411,0.6315814552895671,,m_panel_halfppr12,2018-2024,7,2012
F0,TE,2021,17,90,0.3946078431372549,0.6720319643779565,,m_panel_halfppr12,2018-2024,7,2012
F0,TE,2022,12,89,0.3846153846153847,0.787443234003451,,m_panel_halfppr12,2018-2024,7,2012
F0,TE,2023,17,89,0.590686274509804,0.7717260800664627,,m_panel_halfppr12,2018-2024,7,2012
F0,TE,2024,16,86,0.3296542467149457,0.7472200390767414,,m_panel_halfppr12,2018-2024,7,2012
F0,WR,2018,40,186,0.6846474982905959,0.729599454806904,,m_panel_halfppr12,2018-2024,7,2012
F0,WR,2019,49,185,0.5473469387755101,0.7456681443619643,,m_panel_halfppr12,2018-2024,7,2012
F0,WR,2020,50,190,0.4534453781512604,0.7590979090316616,,m_panel_halfppr12,2018-2024,7,2012
F0,WR,2021,58,197,0.4297337619900147,0.7129292764758983,,m_panel_halfppr12,2018-2024,7,2012
F0,WR,2022,39,193,0.7384989128340331,0.7246795612422234,,m_panel_halfppr12,2018-2024,7,2012
F0,WR,2023,61,188,0.5869458877547284,0.7780041963094525,,m_panel_halfppr12,2018-2024,7,2012
F0,WR,2024,54,190,0.483904781959087,0.7952268323798679,,m_panel_halfppr12,2018-2024,7,2012
CTRL-B,RB,2018,29,120,0.457142857142857,0.6074952974640546,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,RB,2019,35,118,0.3770308123249299,0.7020267780432696,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,RB,2020,45,119,0.4193675889328062,0.6606754577118926,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,RB,2021,59,118,0.6559120941708241,0.5862432730217877,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,RB,2022,37,123,0.3404457088667614,0.7092770660789194,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,RB,2023,52,128,0.3846153846153846,0.7359739661100546,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,RB,2024,46,112,0.3853957879041027,0.7834092656248985,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,TE,2018,11,89,0.3454545454545455,0.586344992323656,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,TE,2019,10,90,0.5757575757575757,0.5840754391460484,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,TE,2020,16,85,0.3088235294117646,0.620277304126126,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,TE,2021,17,90,0.411764705882353,0.6757207115596185,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,TE,2022,12,89,0.2657342657342658,0.7789152782824591,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,TE,2023,17,89,0.6029411764705883,0.7685834673547388,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,TE,2024,16,86,0.2913908073641038,0.7369411020509601,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,WR,2018,40,186,0.6495614247963943,0.7171633937147304,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,WR,2019,49,185,0.561938775510204,0.7440653045893332,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,WR,2020,50,190,0.4443217286914765,0.7513029364951984,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,WR,2021,58,197,0.4087546334519194,0.713568896300285,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,WR,2022,39,193,0.7134976475557977,0.7267749958808029,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,WR,2023,61,188,0.5785375269877224,0.7798896123896354,,m_panel_halfppr12,2018-2024,7,2015
CTRL-B,WR,2024,54,190,0.4884407937001765,0.7945381790627556,,m_panel_halfppr12,2018-2024,7,2015
F1,RB,2018,29,120,0.4591133004926107,0.6077582444980169,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,RB,2019,35,118,0.3784313725490196,0.7007795890368194,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,RB,2020,45,119,0.4134387351778656,0.6605394389260708,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,RB,2021,59,118,0.6656145899498613,0.5812493379881092,0.9830508474576272,m_panel_halfppr12,2018-2024,7,2015
F1,RB,2022,37,123,0.3447131341868183,0.7096399289640473,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,RB,2023,52,128,0.3763339878767182,0.7322556504631553,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,RB,2024,46,112,0.4014924914795502,0.789082931392748,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,TE,2018,11,89,0.2818181818181818,0.5940748953303451,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,TE,2019,10,90,0.5757575757575757,0.5693972080595636,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,TE,2020,16,85,0.3205882352941176,0.6312481151858751,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,TE,2021,17,90,0.3946078431372549,0.6841880162537658,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,TE,2022,12,89,0.1748251748251748,0.7739635620573669,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,TE,2023,17,89,0.573529411764706,0.7624356239077598,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,TE,2024,16,86,0.2810891121542617,0.7365341091484658,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,WR,2018,40,186,0.6565974021013814,0.711544410099325,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,WR,2019,49,185,0.5594897959183672,0.7433267882411286,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,WR,2020,50,190,0.4449939975990395,0.7534382779414843,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,WR,2021,58,197,0.4087238722663797,0.7140805125695899,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,WR,2022,39,193,0.6944683444290435,0.7267303942599816,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,WR,2023,61,188,0.5835085075669587,0.7792206232618148,1.0,m_panel_halfppr12,2018-2024,7,2015
F1,WR,2024,54,190,0.4797118299295085,0.7958563321428183,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,RB,2018,29,120,0.4615763546798029,0.6097110644702429,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,RB,2019,35,118,0.3711484593837535,0.6998765797858584,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,RB,2020,45,119,0.4181818181818181,0.6604857473000886,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,RB,2021,59,118,0.657373313414655,0.585517815107871,0.9830508474576272,m_panel_halfppr12,2018-2024,7,2015
F1k,RB,2022,37,123,0.3468468468468468,0.7090211181510166,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,RB,2023,52,128,0.3846153846153846,0.7382119218975327,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,RB,2024,46,112,0.3836072652846085,0.7837019888966845,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,TE,2018,11,89,0.3454545454545455,0.586344992323656,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,TE,2019,10,90,0.5757575757575757,0.5840754391460484,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,TE,2020,16,85,0.3088235294117646,0.620277304126126,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,TE,2021,17,90,0.411764705882353,0.6757207115596185,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,TE,2022,12,89,0.2657342657342658,0.7789152782824591,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,TE,2023,17,89,0.6029411764705883,0.7685834673547388,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,TE,2024,16,86,0.2913908073641038,0.7369411020509601,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,WR,2018,40,186,0.6495614247963943,0.7171097181548045,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,WR,2019,49,185,0.561938775510204,0.7439980794340999,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,WR,2020,50,190,0.4443217286914765,0.7511760230177176,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,WR,2021,58,197,0.4087546334519194,0.7136296902088289,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,WR,2022,39,193,0.7134976475557977,0.7265940647774717,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,WR,2023,61,188,0.5785375269877224,0.7796053834022689,1.0,m_panel_halfppr12,2018-2024,7,2015
F1k,WR,2024,54,190,0.4884407937001765,0.7945381790627556,1.0,m_panel_halfppr12,2018-2024,7,2015
F2,RB,2018,29,120,0.4586206896551723,0.6191757547090543,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,RB,2019,35,118,0.3915966386554622,0.6966764910525589,0.9714285714285714,m_panel_halfppr12,2018-2024,7,2012
F2,RB,2020,45,119,0.4189723320158103,0.656260837663844,0.9777777777777776,m_panel_halfppr12,2018-2024,7,2012
F2,RB,2021,59,118,0.6443976865294364,0.5961641037568975,0.9661016949152542,m_panel_halfppr12,2018-2024,7,2012
F2,RB,2022,37,123,0.3809862494073019,0.7089142031937915,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,RB,2023,52,128,0.3786391189276871,0.7244000022644562,0.9807692307692308,m_panel_halfppr12,2018-2024,7,2012
F2,RB,2024,46,112,0.4043911315870061,0.7809744426439631,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,TE,2018,11,89,0.2454545454545454,0.6175830970132716,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,TE,2019,10,90,0.5757575757575757,0.5689811584255928,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,TE,2020,16,85,0.3647058823529411,0.6302186825127083,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,TE,2021,17,90,0.375,0.6736459733818572,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,TE,2022,12,89,0.3636363636363637,0.7875463947581405,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,TE,2023,17,89,0.590686274509804,0.7647711175077293,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,TE,2024,16,86,0.2752024291772091,0.7432163647103459,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,WR,2018,40,186,0.6820207334300675,0.7300627490552865,0.975,m_panel_halfppr12,2018-2024,7,2012
F2,WR,2019,49,185,0.5440816326530612,0.7442333674774162,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,WR,2020,50,190,0.4549819927971187,0.7585831550670541,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,WR,2021,58,197,0.4228432564291153,0.7123726582341704,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,WR,2022,39,193,0.7378915946491367,0.7247233213230291,1.0,m_panel_halfppr12,2018-2024,7,2012
F2,WR,2023,61,188,0.5848305768699471,0.778276544342363,0.9836065573770492,m_panel_halfppr12,2018-2024,7,2012
F2,WR,2024,54,190,0.4879071452600484,0.7951703274923102,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,RB,2018,29,120,0.4532019704433496,0.6170861478540549,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,RB,2019,35,118,0.3991596638655462,0.6971834770626525,0.9714285714285714,m_panel_halfppr12,2018-2024,7,2012
F2k,RB,2020,45,119,0.414756258234519,0.6550044558526932,0.9777777777777776,m_panel_halfppr12,2018-2024,7,2012
F2k,RB,2021,59,118,0.6492489344189551,0.597080084298832,0.9661016949152542,m_panel_halfppr12,2018-2024,7,2012
F2k,RB,2022,37,123,0.3686581318160265,0.7078094153024649,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,RB,2023,52,128,0.3722359771194399,0.7256539272350184,0.9807692307692308,m_panel_halfppr12,2018-2024,7,2012
F2k,RB,2024,46,112,0.4223380309757233,0.7820205000990674,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,TE,2018,11,89,0.2454545454545454,0.6164898924677821,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,TE,2019,10,90,0.5757575757575757,0.5684153309233928,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,TE,2020,16,85,0.3647058823529411,0.6325912797213402,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,TE,2021,17,90,0.375,0.6709890662523593,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,TE,2022,12,89,0.3496503496503497,0.7834715449479085,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,TE,2023,17,89,0.590686274509804,0.7628992880783418,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,TE,2024,16,86,0.2752024291772091,0.7434719183933073,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,WR,2018,40,186,0.6846474982905959,0.7296088713566679,0.975,m_panel_halfppr12,2018-2024,7,2012
F2k,WR,2019,49,185,0.5440816326530612,0.7442160810089276,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,WR,2020,50,190,0.4534453781512604,0.7586470555592122,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,WR,2021,58,197,0.4281957027130282,0.712795056474347,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,WR,2022,39,193,0.7384989128340331,0.7246509488816966,1.0,m_panel_halfppr12,2018-2024,7,2012
F2k,WR,2023,61,188,0.5869458877547284,0.7780306999770846,0.9836065573770492,m_panel_halfppr12,2018-2024,7,2012
F2k,WR,2024,54,190,0.483904781959087,0.7957071239241105,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,QB,2018,19,65,-0.0894736842105263,0.6202029805270775,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,QB,2019,19,72,0.3157894736842105,0.671330079415342,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,QB,2020,19,73,0.3333333333333333,0.7460159139237059,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,QB,2021,19,73,0.1894736842105263,0.7114582830059276,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,QB,2022,14,77,0.4813186813186813,0.7455314378310972,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,QB,2023,23,79,0.0395256916996047,0.6018271519019098,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,QB,2024,21,85,0.4688311688311688,0.7158301060993221,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,RB,2018,29,120,0.4364532019704433,0.636467602039351,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,RB,2019,35,118,0.4708683473389356,0.7089995816628619,0.9714285714285714,m_panel_halfppr12,2018-2024,7,2012
F3,RB,2020,45,119,0.441897233201581,0.6682591049885661,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,RB,2021,59,118,0.654918465085019,0.6095374196691393,0.9830508474576272,m_panel_halfppr12,2018-2024,7,2012
F3,RB,2022,37,123,0.3812233285917496,0.7231598112822473,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,RB,2023,52,128,0.3646375821736531,0.742457102361372,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,RB,2024,46,112,0.4586635421095874,0.7951371135381741,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,TE,2018,11,89,0.3727272727272728,0.6083382018805498,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,TE,2019,10,90,0.6848484848484848,0.5751719769790764,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,TE,2020,16,85,0.3382352941176471,0.6443170080747448,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,TE,2021,17,90,0.3480392156862745,0.6714608534996532,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,TE,2022,12,89,0.3566433566433566,0.7819069401684521,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,TE,2023,17,89,0.590686274509804,0.7625558331371699,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,TE,2024,16,86,0.2693157462001565,0.741976456100422,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,WR,2018,40,186,0.6891505237657876,0.7279590918380382,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,WR,2019,49,185,0.5503061224489795,0.7443495709600335,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,WR,2020,50,190,0.4578631452581032,0.7547526755649049,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,WR,2021,58,197,0.4340403279655767,0.7126363610607479,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,WR,2022,39,193,0.7234171779091055,0.7213411720007595,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,WR,2023,61,188,0.587580481020163,0.7783789033345978,1.0,m_panel_halfppr12,2018-2024,7,2012
F3,WR,2024,54,190,0.4731555776650766,0.79347606375444,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,QB,2018,19,65,-0.0842105263157894,0.6149548716823983,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,QB,2019,19,72,0.3578947368421052,0.6761919335821783,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,QB,2020,19,73,0.3947368421052631,0.7568731458199719,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,QB,2021,19,73,0.1245614035087719,0.7119570706900962,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,QB,2022,14,77,0.4153846153846154,0.740579977774305,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,QB,2023,23,79,0.0622529644268774,0.6077211450681542,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,QB,2024,21,85,0.4441558441558441,0.7095214959657009,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,RB,2018,29,120,0.4532019704433496,0.6170861478540549,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,RB,2019,35,118,0.3991596638655462,0.6971834770626525,0.9714285714285714,m_panel_halfppr12,2018-2024,7,2012
F3k,RB,2020,45,119,0.414756258234519,0.6602805435724546,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,RB,2021,59,118,0.6488397930306825,0.5978275244210504,0.9830508474576272,m_panel_halfppr12,2018-2024,7,2012
F3k,RB,2022,37,123,0.3686581318160265,0.7078094153024649,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,RB,2023,52,128,0.3722359771194399,0.7338682968338405,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,RB,2024,46,112,0.4223380309757233,0.7839059863761692,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,TE,2018,11,89,0.2454545454545454,0.6164898924677821,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,TE,2019,10,90,0.5757575757575757,0.5684153309233928,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,TE,2020,16,85,0.3647058823529411,0.6325912797213402,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,TE,2021,17,90,0.375,0.6709890662523593,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,TE,2022,12,89,0.3496503496503497,0.7834887384070233,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,TE,2023,17,89,0.590686274509804,0.7628992880783418,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,TE,2024,16,86,0.2752024291772091,0.7434719183933073,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,WR,2018,40,186,0.6846474982905959,0.7296088713566679,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,WR,2019,49,185,0.5440816326530612,0.7442160810089276,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,WR,2020,50,190,0.4534453781512604,0.7582867277839869,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,WR,2021,58,197,0.4281957027130282,0.712831374827708,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,WR,2022,39,193,0.7384989128340331,0.7246509488816966,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,WR,2023,61,188,0.5869458877547284,0.7780306999770846,1.0,m_panel_halfppr12,2018-2024,7,2012
F3k,WR,2024,54,190,0.485543845025195,0.7958854674754652,1.0,m_panel_halfppr12,2018-2024,7,2012
CTRL-C,TE,2019,10,90,0.6,0.6077403423262995,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,TE,2020,16,85,0.4029411764705882,0.6258460446819235,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,TE,2021,17,90,0.3627450980392157,0.6846184168833803,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,TE,2022,12,89,0.2377622377622378,0.7879848279655705,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,TE,2023,17,89,0.5416666666666667,0.7703522603017745,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,TE,2024,16,86,0.2810891121542617,0.7401875803196921,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,WR,2019,49,185,0.5596938775510204,0.7315105266698565,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,WR,2020,50,190,0.4577671068427371,0.7568816925027303,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,WR,2021,58,197,0.4118307520058923,0.7068530580527234,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,WR,2022,39,193,0.7061086096395579,0.7228311897016928,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,WR,2023,61,188,0.5841695422184529,0.7766177803164144,,m_panel_halfppr12,2019-2024,6,2017
CTRL-C,WR,2024,54,190,0.4830280738074479,0.7944013312882012,,m_panel_halfppr12,2019-2024,6,2017
F4,TE,2019,10,90,0.5272727272727272,0.6293083553513384,0.9,m_panel_halfppr12,2019-2024,6,2017
F4,TE,2020,16,85,0.3323529411764706,0.6116790902750091,0.8125,m_panel_halfppr12,2019-2024,6,2017
F4,TE,2021,17,90,0.3651960784313726,0.6799005638279904,0.9411764705882352,m_panel_halfppr12,2019-2024,6,2017
F4,TE,2022,12,89,0.2377622377622378,0.7871251550098252,1.0,m_panel_halfppr12,2019-2024,6,2017
F4,TE,2023,17,89,0.556372549019608,0.7706441970017708,0.9411764705882352,m_panel_halfppr12,2019-2024,6,2017
F4,TE,2024,16,86,0.2752024291772091,0.7410015661246803,0.9375,m_panel_halfppr12,2019-2024,6,2017
F4,WR,2019,49,185,0.5596938775510204,0.7309804083028748,0.9387755102040816,m_panel_halfppr12,2019-2024,6,2017
F4,WR,2020,50,190,0.4618967587034813,0.7572571184038608,0.92,m_panel_halfppr12,2019-2024,6,2017
F4,WR,2021,58,197,0.4109694388107799,0.707282562057688,0.9310344827586208,m_panel_halfppr12,2019-2024,6,2017
F4,WR,2022,39,193,0.7061086096395579,0.7229145025109046,0.9487179487179488,m_panel_halfppr12,2019-2024,6,2017
F4,WR,2023,61,188,0.580282658467667,0.7755503222545367,0.8688524590163934,m_panel_halfppr12,2019-2024,6,2017
F4,WR,2024,54,190,0.4835236045018526,0.7940879057400283,0.9629629629629628,m_panel_halfppr12,2019-2024,6,2017
F4k,TE,2019,10,90,0.6,0.610369776012994,0.9,m_panel_halfppr12,2019-2024,6,2017
